Options in 'main-linux-arm64-working' (PKG/CArchive):
 pyi-contents-directory _internal
Contents of 'main-linux-arm64-working' (PKG/CArchive):
 length, uncompressed_length, is_compressed, typecode, name
 86106, 199352, 1, 'b', 'libk5crypto.so.3'
 6799, 67432, 1, 'b', 'libkeyutils.so.1'
 354910, 928736, 1, 'b', 'libkrb5.so.3'
 22306, 68576, 1, 'b', 'libkrb5support.so.0'
 70755, 199056, 1, 'b', 'liblz4.so.1'
 94690, 198584, 1, 'b', 'liblzma.so.5'
 21088, 67704, 1, 'b', 'libmd.so.0'
 181540, 461432, 1, 'b', 'libmount.so.1'
 162048, 329736, 1, 'b', 'libnettle.so.8'
 110100, 266608, 1, 'b', 'libnspr4.so'
 515652, 1381616, 1, 'b', 'libnss3.so'
 73024, 198880, 1, 'b', 'libnssutil3.so'
 271393, 1351264, 1, 'b', 'libp11-kit.so.0'
 180277, 462192, 1, 'b', 'libpango-1.0.so.0'
 225221, 592440, 1, 'b', 'libpcre2-8.so.0'
 217340, 657360, 1, 'b', 'libpixman-1.so.0'
 7938, 67600, 1, 'b', 'libplc4.so'
 5505, 67632, 1, 'b', 'libplds4.so'
 106135, 264040, 1, 'b', 'libpng16.so.16'
 2537318, 7670720, 1, 'b', 'libpython3.11.so.1.0'
 79143, 198800, 1, 'b', 'libselinux.so.1'
 76290, 199144, 1, 'b', 'libsmime3.so'
 708578, 1458912, 1, 'b', 'libsqlite3.so.0'
 267001, 737192, 1, 'b', 'libssl.so.3'
 710610, 2174296, 1, 'b', 'libstdc++.so.6'
 352371, 923696, 1, 'b', 'libsystemd.so.0'
 38092, 133048, 1, 'b', 'libtasn1.so.6'
 14845, 40880, 1, 'b', 'libthai.so.0'
 81794, 199104, 1, 'b', 'libudev.so.1'
 676140, 1771448, 1, 'b', 'libunistring.so.2'
 14764, 67576, 1, 'b', 'libuuid.so.1'
 14619, 67784, 1, 'b', 'libxcb-render.so.0'
 3684, 67576, 1, 'b', 'libxcb-shm.so.0'
 125240, 330360, 1, 'b', 'libxkbcommon.so.0'
 59452, 133520, 1, 'b', 'libz.so.1'
 295014, 657352, 1, 'b', 'libzstd.so.1'
 42145666, 119560320, 1, 'b', 'playwright/driver/node'
 134505383, 427785632, 1, 'b', 'playwright/driver/package/.local-browsers/chromium-1187/chrome-linux/chrome'
 2135, 5061, 1, 'b', 'playwright/driver/package/.local-browsers/chromium-1187/chrome-linux/chrome-wrapper'
 791672, 2300024, 1, 'b', 'playwright/driver/package/.local-browsers/chromium-1187/chrome-linux/chrome_crashpad_handler'
 8679, 25096, 1, 'b', 'playwright/driver/package/.local-browsers/chromium-1187/chrome-linux/chrome_sandbox'
 120661, 414624, 1, 'b', 'playwright/driver/package/.local-browsers/chromium-1187/chrome-linux/libEGL.so'
 2875890, 9094896, 1, 'b', 'playwright/driver/package/.local-browsers/chromium-1187/chrome-linux/libGLESv2.so'
 7913165, 24119600, 1, 'b', 'playwright/driver/package/.local-browsers/chromium-1187/chrome-linux/libvk_swiftshader.so'
 246984, 836664, 1, 'b', 'playwright/driver/package/.local-browsers/chromium-1187/chrome-linux/libvulkan.so.1'
 9667, 37394, 1, 'b', 'playwright/driver/package/.local-browsers/chromium-1187/chrome-linux/xdg-mime'
 8462, 33273, 1, 'b', 'playwright/driver/package/.local-browsers/chromium-1187/chrome-linux/xdg-settings'
 90446642, 278032232, 1, 'b', 'playwright/driver/package/.local-browsers/chromium_headless_shell-1187/chrome-linux/headless_shell'
 120661, 414624, 1, 'b', 'playwright/driver/package/.local-browsers/chromium_headless_shell-1187/chrome-linux/libEGL.so'
 2875890, 9094896, 1, 'b', 'playwright/driver/package/.local-browsers/chromium_headless_shell-1187/chrome-linux/libGLESv2.so'
 7913165, 24119600, 1, 'b', 'playwright/driver/package/.local-browsers/chromium_headless_shell-1187/chrome-linux/libvk_swiftshader.so'
 246984, 836664, 1, 'b', 'playwright/driver/package/.local-browsers/chromium_headless_shell-1187/chrome-linux/libvulkan.so.1'
 1701850, 3367792, 1, 'b', 'playwright/driver/package/.local-browsers/ffmpeg-1011/ffmpeg-linux'
 590, 1214, 1, 'b', 'playwright/driver/package/bin/reinstall_chrome_beta_linux.sh'
 260, 563, 1, 'b', 'playwright/driver/package/bin/reinstall_chrome_beta_mac.sh'
 590, 1209, 1, 'b', 'playwright/driver/package/bin/reinstall_chrome_stable_linux.sh'
 258, 519, 1, 'b', 'playwright/driver/package/bin/reinstall_chrome_stable_mac.sh'
 696, 1491, 1, 'b', 'playwright/driver/package/bin/reinstall_msedge_beta_linux.sh'
 245, 377, 1, 'b', 'playwright/driver/package/bin/reinstall_msedge_beta_mac.sh'
 694, 1486, 1, 'b', 'playwright/driver/package/bin/reinstall_msedge_dev_linux.sh'
 245, 372, 1, 'b', 'playwright/driver/package/bin/reinstall_msedge_dev_mac.sh'
 693, 1504, 1, 'b', 'playwright/driver/package/bin/reinstall_msedge_stable_linux.sh'
 244, 371, 1, 'b', 'playwright/driver/package/bin/reinstall_msedge_stable_mac.sh'
 448, 713, 1, 'b', 'playwright/driver/package/cli.js'
 7105, 25778, 1, 'b', 'playwright/driver/package/lib/utilsBundleImpl/xdg-open'
 12, 4, 1, 'x', 'playwright-1.55.0.dist-info/INSTALLER'
 1291, 3452, 1, 'x', 'playwright-1.55.0.dist-info/METADATA'
